participant,speed,node,Fx1,Fy1,Fx2,Fy2,speed1,speed2,duration
P1,1.2,16,-97.69625699997862,700.5585225381026,0.0,0.0,1.200905434328206,1.1914319146494854,1.156
P1,1.2,17,-86.78033708376564,689.9613810383971,0.0,0.0,1.2024540189562747,1.1921885250147437,1.156
P1,1.2,18,-76.05526727079554,674.5992258117511,0.0,0.0,1.2036993226100035,1.1955731223356427,1.156
P1,1.2,19,-65.69926106981083,655.5459821895017,0.0,0.0,1.2048086070279804,1.1991973755098695,1.156
P1,1.2,20,-56.20493383155287,634.6792227521944,0.0,0.0,1.2054572178382217,1.201266861970117,1.156
P1,1.2,21,-47.73955219381715,613.2716386345352,0.09183153990555308,0.22084831619172732,1.2059011580931054,1.201550073243237,1.156
P1,1.2,22,-40.35373042077789,592.2472932982535,0.12403350368873822,0.25875049877614054,1.206216805624831,1.2002668154815763,1.156
P1,1.2,23,-34.13971787894405,573.0546534737176,0.09585790613012872,0.18958755983124226,1.2067422509212167,1.1989361359261073,1.156
P1,1.2,24,-28.952436482258523,557.0569901721124,0.05512039217914993,0.10466734671018312,1.2070525200644149,1.1987764893032795,1.156
P1,1.2,25,-24.45974804023644,544.6684936943981,0.02263072639750382,0.04142903786022953,1.2067414509661187,1.199271162399774,1.156
P1,1.2,26,-20.442014819521184,535.9087681254298,0.0030153215962308794,0.006280251579708698,1.2058703010676333,1.1994004105477734,1.156
P1,1.2,27,-16.516790895781526,530.9824292612833,0.0,0.0,1.2043942129724987,1.1994481414216003,1.156
P1,1.2,28,-12.544752688952228,529.9310206416799,0.0,0.0,1.2029461592695547,1.1998242490475528,1.156
P1,1.2,29,-8.63071202439925,532.187170013333,0.0,0.0,1.2026505371648804,1.1996105359847933,1.156
P1,1.2,30,-4.534343063912887,536.750537003199,0.0,0.0,1.2025587986120598,1.1991299892273948,1.156
P1,1.2,31,-0.19768796378990677,542.9329761729911,0.0,0.0,1.2019256464980113,1.1994885089756795,1.156
P1,1.2,32,4.269995513270106,550.6411445784382,0.0,0.0,1.2011676779557932,1.1997436169556617,1.156
P1,1.2,33,8.957323822068142,559.7090001729841,0.0,0.0,1.2008766752630695,1.1994833155639868,1.156
P1,1.2,34,13.858501937654994,569.682207139075,0.0,0.0,1.2007651900856997,1.1992201811779735,1.156
P1,1.2,35,18.893342544487723,580.3226431069836,0.0,0.0,1.200813893030841,1.1995210227222508,1.156
P1,1.2,36,24.12340267915193,591.6777090052861,0.0,0.0,1.2010684519205008,1.1996563796974464,1.156
P1,1.2,37,29.471201547037914,603.6178508590268,0.00594230025980605,0.0214412591948215,1.2012989701340158,1.1993669581483377,1.156
P1,1.2,38,35.02787924917222,615.6602213553791,0.008782245765068954,0.07003306039236656,1.2012610361358886,1.1996665351018132,1.156
P1,1.2,39,40.92505216142786,627.3700613851602,0.008867284962315541,0.14419127438642715,1.201040269888589,1.1995970155383338,1.156
P1,1.2,40,47.03334871954449,638.698890166729,0.0013362657803229173,0.2232699228902497,1.2009267410424764,1.1991222302027864,1.156
P1,1.2,41,53.30093106882914,649.733760688622,-0.02089518534926022,0.24476673402069654,1.2009045070390503,1.1992369876567275,1.156
P1,1.2,42,59.78979546133189,660.3541198811505,-0.06458939141150186,0.0844421843141887,1.2008272514022946,1.1997504772679857,1.156
P1,1.2,43,66.46206826499889,670.407714043944,0.0,0.0,1.2011351329075604,1.1999583618976852,1.156
P1,1.2,44,73.38867778500584,679.9906567233028,0.0,0.0,1.2015157523251407,1.1992645457503335,1.156
P1,1.2,45,80.65246761440078,689.1241524476789,0.0,0.0,1.2018993839967045,1.1990558014087722,1.156
P1,1.2,46,88.26224902667633,697.2166340707191,0.0,0.0,1.2023448439240447,1.1993062451051908,1.156
P1,1.2,47,96.25092642400834,703.1825587427294,0.0,0.0,1.2026789299687028,1.1990909744797438,1.156
P1,1.2,48,104.53398440848116,705.9574487993976,0.0,0.0,1.2027896546620167,1.1994677940822052,1.156
P1,1.2,49,112.95153121034842,704.4810087738601,2.912547188075061,9.232007467487195,1.2027242586624014,1.1997789855360537,1.156
P1,1.2,50,121.34869109469972,697.3961655868284,4.363063843693594,33.75411769942052,1.2031780603869338,1.1993446423835605,1.156
P1,1.2,51,129.41637091126833,683.095976388138,4.151025093045668,73.5923039161469,1.2038481608444795,1.199085589176398,1.156
P1,1.2,52,136.5788119679175,660.0357661946746,-0.7596974783086821,126.54842044122967,1.2040998611300855,1.1993289653465682,1.156
P1,1.2,53,142.0640533545091,626.8738673256138,-12.621997272440597,187.09055752756757,1.2045708198992182,1.1994497977310776,1.156
P1,1.2,54,145.25827814658223,582.5835040438939,-30.42381058374659,250.3923906609181,1.2051675573696021,1.1985075597648882,1.156
P1,1.2,55,145.37417775849235,526.92746320452,-50.98771691522836,314.59341814944935,1.205627486307587,1.1975017914166297,1.156
P1,1.2,56,141.34485801269588,461.1197602932627,-71.63412480656629,378.97488584184765,1.2057925624988555,1.1957286061461503,1.156
P1,1.2,57,132.07977278308675,388.1285476014181,-90.48145299161195,441.80911777020344,1.2058071908377819,1.1909950979270576,1.156
P1,1.2,58,117.0214572998258,312.08462917245555,-106.21746023186974,500.70715400404805,1.206136682198881,1.184344569179716,1.156
P1,1.2,59,97.00391871584138,237.30756177019182,-118.03499976670568,553.3976093847771,1.206460608010347,1.179208853958211,1.156
P1,1.2,60,74.43638166495239,167.9867744339448,-125.61924103118646,598.1990438989421,1.206458562343328,1.1775362270172633,1.156
P1,1.2,61,52.006381687765085,108.271722648938,-129.09008225546845,634.6273663931894,1.2050400612509005,1.1793511594989425,1.156
P1,1.2,62,32.146404458294604,61.38364911396128,-128.6121334300013,663.2347240936441,1.2014710258249683,1.1825482570745263,1.156
P1,1.2,63,16.75929223058653,28.488604158610887,-124.58652152258578,684.6666039076952,1.1968642897998205,1.1861911884661542,1.156
P1,1.2,64,6.554816362064439,8.616365721180497,-117.93720912698996,699.1904385477961,1.1933712389689126,1.1893711068080368,1.156
P1,1.2,65,0.0,0.0,-109.54786225564361,707.1203031672094,1.192295201082598,1.1925056218275345,1.156
P1,1.2,66,0.0,0.0,-100.13031073179788,708.924793673898,1.193250629285152,1.1948415826581227,1.156
P1,1.2,67,0.0,0.0,-90.37996861903719,704.9643663631745,1.1952289038837833,1.19691716016068,1.156
P1,1.2,68,0.0,0.0,-80.62029851964344,695.63312071608,1.1977306616690575,1.1995367497083782,1.156
P1,1.2,69,0.0,0.0,-71.07393229304691,681.504124052776,1.1993134661776073,1.2022127705512091,1.156
P1,1.2,70,0.0,0.0,-62.01249706384698,663.3153379247067,1.199861473159589,1.2043711790440805,1.156
P1,1.2,71,-0.052410568371042625,0.025959957748270875,-53.53205295914426,642.2320066720871,1.1996559372964997,1.2052114009430603,1.156
P1,1.2,72,0.05121405895467995,0.1709852801711374,-45.78608943010903,619.7769445676103,1.1992885986340502,1.2050500975683476,1.156
P1,1.2,73,0.0715111336474666,0.16764158586801126,-38.98951057675785,597.4595249184325,1.199299487748932,1.205254738352806,1.156
P1,1.2,74,0.05583599260751109,0.11288662860299105,-33.0790144594377,576.755970374049,1.1992446750439532,1.2055193946141938,1.156
P1,1.2,75,0.03245344347846274,0.05749344752300848,-27.955209542465145,558.9925931182836,1.1993738081091547,1.2058121730143296,1.156
P1,1.2,76,0.013820629374536597,0.019648215092346762,-23.46242097369979,544.9842298188903,1.1994637675594657,1.206194012889161,1.156
P1,1.2,77,0.0028133601129055807,0.00019223691477302201,-19.301711750422186,534.9963716933851,1.199111425406832,1.2058501136865416,1.156
P1,1.2,78,0.0,0.0,-15.279952277082979,529.0010295680435,1.1989041473126685,1.205200577688874,1.156
P1,1.2,79,0.0,0.0,-11.25819275681794,526.7582892973716,1.1990675368355725,1.2042721704336727,1.156
P1,1.2,80,0.0,0.0,-7.071126464447094,527.8252830173145,1.1995198970553274,1.2037632980275046,1.156
P1,1.2,81,0.0,0.0,-2.709493642424712,531.7441330180667,1.1996714064166143,1.2032256788796838,1.156
P1,1.2,82,0.0,0.0,1.829952568469171,538.134448724887,1.1994594694420118,1.2022965913611119,1.156
P1,1.2,83,0.0,0.0,6.496418970629019,546.5973781091021,1.1993332722180352,1.2019343144670216,1.156
P1,1.2,84,0.0,0.0,11.131690705910216,556.6957220293256,1.1994901891722827,1.2015110156218165,1.156
P1,1.2,85,0.0,0.0,15.722555385720089,567.9464022378587,1.199727308707862,1.2012518840480897,1.156
P1,1.2,86,0.0,0.0,20.342897855188856,579.8577408969262,1.1996720539882453,1.2014973627111276,1.156
P1,1.2,87,0.01424090485183908,0.025831538259800536,25.001304445226626,592.0299493004412,1.199272368923581,1.2016126029268777,1.156
P1,1.2,88,0.019723238964230963,0.09097056155240593,29.85223297332379,604.1524577521457,1.1992191894651845,1.2009393118297242,1.156
P1,1.2,89,0.017506201203432523,0.1928744898553112,34.95009219747519,616.0312633908255,1.1991383104075954,1.2001189365324758,1.156
P1,1.2,90,-0.004472431520607659,0.30639262668215433,40.18514861809078,627.7097944681411,1.1992872928055531,1.2002388712980665,1.156
P1,1.2,91,-0.06237595922517206,0.3500635269119844,45.55494840293148,639.3965935749908,1.1995371643003288,1.2004746504036887,1.156
P1,1.2,92,-0.1693647316051811,0.15706351983425326,51.0558858761086,651.2256207035985,1.1996695209063148,1.2005974994423334,1.156
P1,1.2,93,0.0,0.0,56.691125948901494,663.0617121240025,1.199729426344229,1.201021731591541,1.156
P1,1.2,94,0.0,0.0,62.6715187514432,674.4834198349591,1.199508341860657,1.2012392492624422,1.156
P1,1.2,95,0.0,0.0,69.20346565164112,684.7829569146074,1.1995033587888813,1.2009008083020976,1.156
P1,1.2,96,0.0,0.0,76.42561571742773,692.9899495905773,1.1994598130132295,1.2012870346006532,1.156
P1,1.2,97,0.0,0.0,84.49964903955194,698.0156867304163,1.1991488812514106,1.2021701824511668,1.156
P1,1.2,98,0.0,0.0,93.3798796479631,698.6970139058446,1.19918385207757,1.2020921611619861,1.156
P1,1.2,99,7.134626983145003,10.920186087429885,102.86285551293972,693.7782709743884,1.1992467981193689,1.2015132044941128,1.156
P1,1.4,0,6.315073925189239,11.035011297909463,128.82682868451738,714.2101906514553,1.4000802420098242,1.4023744452253457,1.101
P1,1.4,1,8.267882625314066,46.52380111013987,139.35069599143984,699.4152621656912,1.4002233739206185,1.4031687509315567,1.101
